Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,years_since_1990,rain_temp_interaction,pesticides_per_rainfall,avg_temp_squared
Albania,Maize,36613.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Potatoes,66667.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Rice,23333.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Sorghum,12500.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Soybeans,7000.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Wheat,30197.0,1485.0,121.0,16.37,0,24309.45,0.0814814814266118,267.97690000000006
Albania,Maize,29068.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Potatoes,77818.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Rice,28538.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Sorghum,6667.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Soybeans,6066.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Wheat,20698.0,1485.0,121.0,15.36,1,22809.6,0.0814814814266118,235.9296
Albania,Maize,24876.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Potatoes,82920.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Rice,40000.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Sorghum,3747.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Soybeans,4507.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Wheat,24388.0,1485.0,121.0,16.06,2,23849.1,0.0814814814266118,257.92359999999996
Albania,Maize,24185.0,1485.0,121.0,16.05,3,23834.25,0.0814814814266118,257.6025
Albania,Potatoes,98446.0,1485.0,121.0,16.05,3,23834.25,0.0814814814266118,257.6025
Albania,Rice,41786.0,1485.0,121.0,16.05,3,23834.25,0.0814814814266118,257.6025
Albania,Soybeans,7998.0,1485.0,121.0,16.05,3,23834.25,0.0814814814266118,257.6025
Albania,Wheat,29976.0,1485.0,121.0,16.05,3,23834.25,0.0814814814266118,257.6025
Albania,Maize,25848.0,1485.0,201.0,16.96,4,25185.600000000002,0.1353535352623882,287.64160000000004
Albania,Potatoes,81404.0,1485.0,201.0,16.96,4,25185.600000000002,0.1353535352623882,287.64160000000004
